id,store_id,display_name,store,latitude,longitude,address,city,state,zip,icon
89059,4404,"Etters Supercenter",walmart,40.149635,-76.813225,"50 Newberry Pkwy",Etters,PA,17319,walmart-icon.png
89105,1522,"Elkins Supercenter",walmart,38.89265,-79.843661,"40 Jett Ln",Elkins,WV,26241,walmart-icon.png
89207,2205,"York Supercenter",walmart,39.968565,-76.772897,"1000 Town Center Drive",York,PA,17408,walmart-icon.png
89538,2809,"Buckhannon Supercenter",walmart,38.998038,-80.234958,"100 Buckhannon Crossroads",Buckhannon,WV,26201,walmart-icon.png
89559,2564,"Luray Supercenter",walmart,38.662488,-78.493811,"1036 Us Highway 211 W",Luray,VA,22835,walmart-icon.png
90401,6952,"Timberville Supercenter",walmart,38.63064,-78.77589,"375 S Main Street",Timberville,VA,22853,walmart-icon.png
93489,1792,"Saint Marys Supercenter",walmart,41.390995,-78.563219,"1102 Million Dollar Hwy","Saint Marys",PA,15857,walmart-icon.png
93708,2032,"Oxnard Supercenter",walmart,34.220106,-119.161569,"2001 N Rose Ave",Oxnard,CA,93036,walmart-icon.png
93905,2528,"Mill Hall Supercenter",walmart,41.116694,-77.480536,"167 Hogan Blvd","Mill Hall",PA,17751,walmart-icon.png
95511,5056,"Prairieville Supercenter",walmart,30.330422,-90.986915,"17585 Airline Hwy",Prairieville,LA,70769,walmart-icon.png
95512,2132,"Baton Rouge Supercenter",walmart,30.37753,-91.06156,"10606 N Mall Dr","Baton Rouge",LA,70809,walmart-icon.png
95513,5328,"Baton Rouge Neighborhood Market",walmart,30.409498,-91.020659,"14241 Coursey Blvd","Baton Rouge",LA,70817,walmart-icon.png
95514,4048,"Prairieville Neighborhood Market",walmart,30.323437,-90.92082,"40567 La Hwy 42",Prairieville,LA,70769,walmart-icon.png
95515,5310,"Prairieville Neighborhood Market",walmart,30.284709,-90.957223,"15047 Airline Hwy",Prairieville,LA,70769,walmart-icon.png
95516,7262,"Baton Rouge Neighborhood Market",walmart,30.4098482,-91.0543414,"11550 Coursey Boulevard","Baton Rouge",LA,70816,walmart-icon.png
95517,1266,"Baton Rouge Supercenter",walmart,30.43774,-91.004692,"2171 Oneal Ln","Baton Rouge",LA,70816,walmart-icon.png
95518,4683,"Baton Rouge Supercenter",walmart,30.3519322,-91.1098629,"10550 Burbank Dr","Baton Rouge",LA,70810,walmart-icon.png
95519,7241,"Denham Springs Neighborhood Market",walmart,30.4439235,-90.9452748,"25820 La Hwy 16","Denham Springs",LA,70726,walmart-icon.png
95520,5327,"Baton Rouge Neighborhood Market",walmart,30.431024,-91.077884,"9830 Old Hammond Hwy","Baton Rouge",LA,70816,walmart-icon.png
95521,935,"Denham Springs Supercenter",walmart,30.47255,-90.954325,"904 S Range Ave","Denham Springs",LA,70726,walmart-icon.png
95522,532,"Gonzales Supercenter",walmart,30.235411,-90.908985,"308 N Airline Hwy",Gonzales,LA,70737,walmart-icon.png
95523,839,"Baton Rouge Supercenter",walmart,30.462569,-91.090899,"9350 Cortana Pl","Baton Rouge",LA,70815,walmart-icon.png
95524,1206,"Baton Rouge Supercenter",walmart,30.4207569,-91.1429412,"3132 College Dr","Baton Rouge",LA,70808,walmart-icon.png
95525,4659,"Baton Rouge Neighborhood Market",walmart,30.395741,-91.160018,"5255 Highland Rd","Baton Rouge",LA,70808,walmart-icon.png
95526,2822,"Walker Supercenter",walmart,30.476454,-90.859838,"28270 Walker Rd S",Walker,LA,70785,walmart-icon.png
95527,3288,"Baton Rouge Supercenter",walmart,30.541743,-91.025189,"10200 Sullivan Rd","Baton Rouge",LA,70818,walmart-icon.png
95528,1136,"Port Allen Supercenter",walmart,30.420257,-91.216458,"3255 La Highway 1 S","Port Allen",LA,70767,walmart-icon.png
95529,7233,"Baton Rouge Neighborhood Market",walmart,30.547722,-91.055864,"11825 Hooper Road","Baton Rouge",LA,70818,walmart-icon.png
95530,4679,"Denham Springs Supercenter",walmart,30.561997,-90.95876,"34025 La Highway 16","Denham Springs",LA,70706,walmart-icon.png
95531,401,"Plaquemine Supercenter",walmart,30.263844,-91.254829,"59690 Belleview Dr",Plaquemine,LA,70764,walmart-icon.png
95532,485,"Donaldsonville Supercenter",walmart,30.095133,-90.980352,"1351 Marchand Dr.",Donaldsonville,LA,70346,walmart-icon.png
95533,1102,"Baker Supercenter",walmart,30.580162,-91.131267,"14507 Plank Rd",Baker,LA,70714,walmart-icon.png
95534,428,"Zachary Supercenter",walmart,30.6511982,-91.1421476,"5801 Main St",Zachary,LA,70791,walmart-icon.png
